id,start_local,type,name,distance_m,moving_time_s,elapsed_time_s,elev_gain_m,avg_speed_ms,max_speed_ms,avg_hr,max_hr,avg_cadence,training_load,intensity,efficiency_factor,hr_zone_times,pace,grade_adjusted_pace,rpe,feel,atl_fatica,ctl_fitness,calories,has_streams
i185355127,2026-02-09T08:02:35,Run,Corsa mattutina,2621.05,1316,1327,7.839142,1.976,3.228,114,150,67.51051,8,46.656948,,"[1317,6,0,0,0,0,0]",1.9916793,1.999491,,,1.0656714,0.56154865,176,1
i185355352,2026-04-06T11:52:41,Run,Corsa dell'ora di pranzo,3732.21,2055,2334,44.165863,1.761,4.152,118,162,65.24581,14,48.83886,,"[1944,100,24,0,0,0,0]",1.8161606,1.8862201,,,1.8640668,0.47741902,262,1
i185355350,2026-04-09T20:35:29,Run,Firenze Corsa,158.72,2245,2245,0.0,0.069,3.891,116,122,76.77273,0,,,"[69,0,0,0,0,0,0]",0.070699334,2.3344061,,,1.2143259,0.4445071,12,1
i185355344,2026-04-14T17:26:37,Run,Corsa pomeridiana,2187.33,981,982,1.3197479,2.225,3.004,119,148,71.87137,7,50.683403,,"[983,0,0,0,0,0,0]",2.2296944,2.2790997,,,1.5263178,0.5593163,153,1
i185355335,2026-04-15T19:19:29,Run,Corsa serale,4021.65,1838,1842,68.90102,2.184,3.312,128,166,69.052315,20,62.58835,,"[1439,231,173,0,0,0,0]",2.1880577,2.235507,,,3.9855733,1.0167228,313,1
i185355328,2026-04-19T19:37:22,Run,Corsa serale,6021.92,2616,2690,125.666275,2.299,4.637,142,170,74.23333,38,71.90318,,"[1318,264,981,51,0,0,0]",2.3019571,2.3706686,,,7.3093653,1.818436,450,1
i185355319,2026-04-22T19:10:50,Run,Corsa serale,3324.58,1460,1467,42.575165,2.268,3.378,126,160,70.439156,17,64.7218,,"[1020,423,13,0,0,0,0]",2.2771096,2.2661908,,,7.0246816,2.0930595,240,1
i185355303,2026-04-25T11:45:31,Run,Corsa dell'ora di pranzo,6036.3,2646,2750,122.80365,2.28,4.647,139,172,72.552704,36,69.98542,,"[1291,854,479,25,0,0,0]",2.2812924,2.364947,,,9.368547,2.7957892,471,1
i185355295,2026-05-01T18:30:29,Run,Corsa serale,7120.64,3034,3097,121.30519,2.345,4.656,140,171,73.93916,37,66.25892,,"[1448,1187,374,29,0,0,0]",2.346948,2.400749,,,8.901275,3.2941556,537,1
i185355287,2026-05-03T11:56:39,Run,Corsa dell'ora di pranzo,5023.93,2121,2123,58.030304,2.366,3.116,135,163,73.55686,27,67.69597,,"[997,957,170,0,0,0,0]",2.3686612,2.3771508,,,10.283402,3.776232,390,1
i185355282,2026-05-06T20:00:10,Run,Corsa serale,4729.48,1923,1939,10.061302,2.45,3.144,139,174,77.17326,26,69.58602,,"[965,579,330,58,0,0,0]",2.459428,2.4642913,,,10.160185,4.127645,353,1
i185355276,2026-05-08T18:47:47,Run,Corsa serale,6086.65,2546,2549,58.106186,2.389,3.583,134,169,75.20167,33,68.29576,,"[1375,1082,87,4,0,0,0]",2.3906715,2.333047,,,12.028178,4.7121315,458,1
i185355271,2026-05-12T18:03:04,Run,Corsa serale,4009.24,1484,1489,20.282196,2.693,2.939,146,166,79.54464,23,74.69615,,"[790,155,545,0,0,0,0]",2.7016442,2.685602,,,9.854339,4.825216,304,1
i185355265,2026-05-13T19:04:01,Run,Corsa serale,4615.88,1695,1702,24.26735,2.713,4.022,147,182,76.32513,27,75.72657,,"[935,282,201,215,69,1,0]",2.723233,2.735016,,,12.136806,5.346951,347,1
i185355259,2026-05-15T17:04:44,Run,Corsa pomeridiana,3153.33,1176,1180,4.9912376,2.674,3.2,144,164,78.54225,17,72.13932,,"[666,188,327,0,0,0,0]",2.6814032,2.6279712,,,11.38361,5.498283,237,1
i185355252,2026-05-17T19:06:31,Run,Corsa serale,5012.23,2107,2332,36.932358,2.37,4.05,133,166,77.20817,24,63.914837,,"[1769,233,99,0,0,0,0]",2.3788466,2.3872046,,,11.7494545,5.8072753,362,1
i185355234,2026-05-19T17:35:22,Run,Corsa pomeridiana,4434.74,1987,2023,62.403397,2.218,3.032,129,160,70.94355,23,64.05523,,"[1421,547,23,0,0,0,0]",2.2318773,2.2339685,,,11.891257,6.0783706,341,1
i185355227,2026-05-23T10:03:00,Run,Corsa mattutina,3502.24,1576,1595,64.20114,2.197,3.471,144,171,70.27119,23,72.231514,,"[845,342,301,95,0,0,0]",2.2222335,2.3311753,,,9.777018,6.067341,301,1
i185355215,2026-05-24T20:14:10,Run,Corsa serale,7042.22,2861,2887,73.5462,2.455,2.986,136,160,74.702705,37,68.007355,,"[1828,1032,11,0,0,0,0]",2.4614542,2.4399676,,,13.400998,6.795134,536,1
i185355203,2026-05-27T19:25:58,Run,Corsa serale,6097.5,2501,2596,77.33914,2.429,3.088,148,170,72.10642,41,76.77609,,"[1096,147,1245,25,0,0,0]",2.4380248,2.4591,,,14.18794,7.291357,485,1
i185355105,2026-06-03T14:29:44,Run,Corsa pomeridiana,4808.44,19081,19081,25.586334,0.251,32.275,96,116,53.731518,4,17.870682,,"[1075,0,0,0,0,0,0]",0.25200146,1.4206866,,,5.75194,6.2661138,292,1
i185355096,2026-06-10T19:09:14,Run,Corsa serale,4509.6,1889,2586,60.258408,2.386,3.247,133,171,71.46109,24,67.59446,,"[1324,254,282,29,0,0,0]",2.387295,2.465207,,,5.3109508,5.8688307,342,1
i185355086,2026-06-26T09:48:21,Run,Corsa mattutina,4019.04,1938,2238,38.43628,2.07,3.098,132,166,67.74396,22,63.89424,,"[1507,188,244,0,0,0,0]",2.073808,2.0653543,,,3.4688172,4.5272694,325,1
i185355073,2026-07-09T20:02:36,Run,Corsa serale,4248.18,1835,1842,62.300827,2.306,3.088,118,154,71.39823,16,55.950287,,"[1752,82,0,0,0,0,0]",2.3150845,2.3469074,,,2.6714985,3.6985464,340,1
i185355065,2026-07-11T18:57:58,Run,Corsa serale,4410.15,1886,1891,60.013596,2.332,3.284,141,169,72.73862,28,73.10708,,"[938,353,589,11,0,0,0]",2.3383615,2.3758419,,,5.734989,4.1853456,358,1
i185355058,2026-08-02T09:18:45,Run,Morning Run,3512.98,1493,1584,44.81891,2.33,4.684,129,167,74.83878,15,59.702232,,"[1279,126,90,0,0,0,0]",2.3529673,2.404918,,,2.2443497,2.8317375,254,1
i185355055,2026-08-16T16:44:04,Ride,Afternoon Ride,49053.49,6818,8560,1333.0,6.812,16.907,142,186,,101,71.08804,,"[2864,2462,747,555,141,42,0]",7.1947036,,,,13.749072,4.4053884,1282,1
i185355049,2026-08-21T18:59:58,Run,Evening Run,4665.75,1824,2083,61.961487,2.548,5.804,136,166,74.35778,24,68.636826,,"[1248,384,195,0,0,0,0]",2.557977,2.584202,,,9.925674,4.475631,340,1
i185355042,2026-08-23T11:49:39,Hike,primo giretto svizzero,10069.62,9177,11618,791.0,1.007,2.127,93,154,55.491898,46,40.696014,,"[8700,156,0,0,0,0,0]",1.0972672,,,,13.582536,5.349803,782,1
i185355033,2026-08-30T18:07:12,Run,Evening Run,4860.81,1920,1941,47.387573,2.523,3.387,142,165,75.26337,28,72.08243,,"[1000,562,353,0,0,0,0]",2.531672,2.365022,,,8.724154,5.187303,364,1
i185355030,2026-09-02T19:13:38,Run,Corsa serale,4800.94,1762,1813,44.357117,2.69,3.882,143,164,76.42889,25,70.53456,,"[890,732,141,0,0,0,0]",2.7247105,2.5621083,,,9.011308,5.417913,352,1
i185355021,2026-09-05T11:17:17,Run,Corsa dell'ora di pranzo,5741.8,2146,2414,43.53888,2.526,4.525,142,180,76.21331,31,70.116325,,"[1052,825,54,138,79,0,0]",2.6755824,2.547441,,,9.997103,5.773795,420,1
i185355017,2026-09-06T09:44:02,Ride,pt.1,5373.88,859,1518,101.0,5.597,14.817,123,162,,8,54.8294,,"[635,204,32,0,0,0,0]",6.255972,,,,21.179745,7.849609,159,1
i185355011,2026-09-06T10:41:30,Ride,pt.2,19259.75,2658,2828,446.0,7.02,11.495,119,151,,21,52.508205,,"[2399,253,0,0,0,0,0]",7.2459555,,,,21.179745,7.849609,373,1
i185355005,2026-09-06T12:09:17,Ride,pt.3,28516.85,5070,6788,1405.0,5.261,15.237,134,175,,65,65.70649,,"[2850,1147,677,424,0,0,0]",5.624625,,,,21.179745,7.849609,880,1
i185354997,2026-09-07T18:59:23,Run,Corsa serale,4790.13,1725,1770,46.20819,2.722,3.956,149,175,75.21937,28,75.57148,,"[637,506,371,209,0,0,0]",2.776887,2.6854043,,,22.087671,8.323713,373,1
i185354989,2026-09-09T18:49:07,Run,Evening Run,4922.73,1956,1968,42.225037,2.5,3.284,133,154,75.91132,23,64.91333,,"[1730,228,0,0,0,0,0]",2.5167332,2.394483,,,19.660192,8.477787,357,1
i185537534,2026-09-11T10:38:28,Run,Zurich Corsa,4664.03,1806,1807,45.056213,2.582,3.34,144,159,77.67379,26,71.99114,,"[1250,551,7,0,0,0,0]",2.5825193,2.5014298,,,18.235363,8.695281,354,1
i187548733,2026-09-17T09:42:00,Ride,Zurich Ciclismo,5996.41,929,1062,187.0,5.645,12.792,122,168,,9,55.28656,,"[727,169,24,13,0,0,0]",6.4546933,,,,10.667279,8.05537,174,1
i187784382,2026-09-17T18:58:18,Ride,Zurich Ciclismo,6178.17,1067,1123,279.0,5.502,11.897,133,174,,13,64.58423,,"[725,154,65,123,0,0,0]",5.790225,,,,10.667279,8.05537,200,1
i187849521,2026-09-18T08:58:16,Ride,Zurich Ciclismo,5931.09,859,997,86.0,5.949,15.274,122,172,,8,53.82736,,"[655,153,20,43,0,0,0]",6.904645,,,,13.240891,8.571691,148,1
i188033687,2026-09-18T17:52:30,Ride,Zurich Ciclismo,6097.24,1073,1150,212.0,5.302,10.88,132,175,,14,66.25892,,"[666,126,99,185,0,0,0]",5.682423,,,,13.240891,8.571691,200,1
i188033752,2026-09-18T19:04:09,Hike,Zurich Escursionismo,3011.59,2156,3895,67.0,0.773,2.202,87,126,57.66735,8,29.01905,,"[2113,0,0,0,0,0,0]",1.3968414,,,,13.240891,8.571691,216,1
i189757418,2026-09-23T19:15:28,Run,Zurich Corsa,3990.86,1860,1927,31.99121,2.074,3.238,116,149,69.82318,14,51.234753,,"[1856,0,0,0,0,0,0]",2.1456237,2.1033812,,,8.345677,7.9390483,272,1
i189802025,2026-09-24T08:28:22,Ride,Zurich Ciclismo,5992.55,917,1000,52.0,5.998,16.366,127,170,,9,56.94948,,"[865,40,10,15,0,0,0]",6.5349507,,,,10.163369,8.269878,165,1
i189999775,2026-09-24T18:34:54,Ride,Zurich Ciclismo,6074.81,973,1006,154.0,6.039,11.934,135,168,,13,68.240135,,"[448,310,149,66,0,0,0]",6.2433815,,,,10.163369,8.269878,187,1
i190157046,2026-09-25T09:05:31,Ride,Zurich Ciclismo,5844.87,805,878,115.0,6.662,15.461,127,164,,8,57.37097,,"[678,90,27,0,0,0,0]",7.2607083,,,,14.534651,9.08702,143,1
i190362717,2026-09-25T18:54:37,Ride,Zurich Ciclismo,6154.34,1032,1103,182.0,5.575,9.947,123,164,,10,57.15582,,"[759,216,65,0,0,0,0]",5.9635077,,,,14.534651,9.08702,168,1
i190362729,2026-09-25T19:20:11,Run,Zurich Corsa,4845.38,2069,2090,36.345215,2.319,4.208,134,159,72.764984,25,65.811,,"[1907,146,24,0,0,0,0]",2.3418946,2.2559762,,,14.534651,9.08702,350,1
